,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Type
1341,Mercedes-Benz E-Class,Jaipur,2015,41493,Diesel,Automatic,First,13.0,2987,265,5.0,42,Mercedes-Benz
1342,Nissan Terrano,Kochi,2014,103788,Diesel,Manual,First,19.01,1461,108.5,5.0,5,Nissan
1343,Renault Duster,Bangalore,2016,45000,Diesel,Automatic,First,19.6,1461,108.45,5.0,11,Renault
1344,Maruti Wagon,Pune,2009,120000,Petrol,Manual,First,18.9,998,67.1,5.0,1,Maruti
1345,Hyundai Getz,Jaipur,2009,97359,Diesel,Manual,Second,17.1,1493,110,5.0,1,Hyundai
1346,Maruti Ritz,Mumbai,2016,62000,Petrol,Manual,First,18.5,1197,85.80,5.0,3,Maruti
1347,BMW 5,Kochi,2019,18373,Diesel,Automatic,First,22.48,1995,187.74,5.0,45,BMW
1348,Volkswagen Polo,Hyderabad,2016,60453,Petrol,Manual,First,16.47,1198,74,5.0,5,Volkswagen
1349,Ford Figo,Mumbai,2010,69009,Petrol,Manual,Second,15.6,1196,70,5.0,2,Ford
1350,BMW 3,Hyderabad,2013,30000,Diesel,Automatic,First,18.88,1995,184,5.0,22,BMW
1351,Hyundai Verna,Delhi,2012,70707,Diesel,Manual,First,22.32,1582,126.32,5.0,4,Hyundai
1352,Renault Duster,Coimbatore,2015,64677,Diesel,Manual,First,20.45,1461,83.8,5.0,5,Renault
1353,Hyundai Grand,Bangalore,2018,3000,Petrol,Automatic,First,18.9,1197,81.86,5.0,6,Hyundai
1354,BMW X1,Bangalore,2013,49000,Diesel,Automatic,Second,17.05,1995,184,5.0,14,BMW
1355,Maruti Ritz,Pune,2010,71000,Diesel,Manual,First,21.1,1248,73.9,5.0,3,Maruti
1356,Hyundai i10,Jaipur,2010,52000,Petrol,Manual,Second,19.81,1086,68.05,5.0,2,Hyundai
1357,BMW X5,Kochi,2016,35659,Diesel,Automatic,First,15.97,2993,258,7.0,43,BMW
1358,Honda City,Kochi,2019,5377,Petrol,Manual,First,16.8,1497,116.3,5.0,11,Honda
1359,Mahindra Ssangyong,Delhi,2014,65000,Diesel,Automatic,First,11.18,2696,184,7.0,10,Mahindra
1360,Ford Ecosport,Coimbatore,2015,92708,Diesel,Manual,First,22.7,1498,89.84,5.0,7,Ford
1361,Maruti Alto,Coimbatore,2010,48105,Petrol,Manual,First,19.7,796,46.3,5.0,3,Maruti
1362,Volkswagen Polo,Mumbai,2011,46759,Petrol,Manual,First,16.47,1198,74,5.0,2,Volkswagen
1363,Volkswagen Polo,Jaipur,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5.0,3,Volkswagen
1364,Volkswagen Polo,Kolkata,2012,35175,Diesel,Manual,First,22.07,1199,73.9,5.0,2,Volkswagen
1365,Maruti Ertiga,Kolkata,2013,70000,Diesel,Manual,First,20.77,1248,88.8,7.0,5,Maruti
1366,Ford EcoSport,Kolkata,2017,30000,Diesel,Manual,First,22.77,1498,98.59,5.0,6,Ford
1367,Toyota Innova,Kolkata,2016,66618,Diesel,Automatic,First,11.36,2755,171.5,7.0,15,Toyota
1368,BMW 5,Mumbai,2010,69300,Petrol,Automatic,Second,10.8,2497,150,5.0,12,BMW
1369,Maruti Swift,Kolkata,2017,148000,Diesel,Manual,First,23.4,1248,74,5.0,4,Maruti
1370,Ford Ecosport,Mumbai,2017,22000,Petrol,Manual,First,18.88,999,123.24,5.0,7,Ford
1371,Hyundai Verna,Ahmedabad,2013,75000,Diesel,Manual,First,16.8,1493,110,5.0,6,Hyundai
1372,Tata Zest,Mumbai,2016,43706,Petrol,Manual,First,17.57,1193,88.7,5.0,4,Tata
1373,Audi A7,Mumbai,2011,42000,Diesel,Automatic,First,14.4,2967,241.4,5.0,28,Audi
1374,Tata Indica,Pune,2012,65000,Diesel,Manual,First,22.3,1248,74,5.0,2,Tata
1375,Maruti Swift,Delhi,2015,76128,Diesel,Manual,First,26.59,1248,74,5.0,5,Maruti
1376,Fiat Linea,Kolkata,2010,39852,Petrol,Manual,First,16.0,1368,90,5.0,1,Fiat
1377,Hyundai i20,Mumbai,2017,18673,Petrol,Manual,First,18.6,1197,81.83,5.0,6,Hyundai
1378,Hyundai EON,Kolkata,2016,11583,Petrol,Manual,First,21.1,814,55.2,5.0,2,Hyundai
1379,Mercedes-Benz GLA,Pune,2017,50000,Diesel,Automatic,First,17.9,2143,136,5.0,25,Mercedes-Benz
1380,Maruti Celerio,Delhi,2014,77000,Petrol,Manual,First,23.1,998,67.04,5.0,2,Maruti
1381,Chevrolet Beat,Mumbai,2014,54890,Petrol,Manual,Second,17.8,1199,76.8,5.0,2,Chevrolet
1382,Honda Jazz,Pune,2016,21000,Petrol,Automatic,First,19.0,1199,88.7,5.0,6,Honda
1383,BMW 3,Mumbai,2009,58557,Diesel,Automatic,Third,16.07,1995,181,5.0,8,BMW
1384,Renault Duster,Bangalore,2014,70000,Diesel,Manual,First,19.01,1461,108.45,5.0,8,Renault
1385,Ford Figo,Mumbai,2017,16000,Petrol,Automatic,First,17.01,1499,110.4,5.0,5,Ford
1386,Toyota Innova,Kochi,2018,8899,Diesel,Manual,First,13.68,2393,147.8,7.0,19,Toyota
1387,Chevrolet Beat,Kochi,2016,83629,Diesel,Manual,First,25.44,936,56.3,5.0,3,Chevrolet
1388,Volkswagen Polo,Chennai,2014,35059,Petrol,Automatic,First,17.21,1798,189,4.0,5,Volkswagen
1389,Ford Endeavour,Kochi,2018,30552,Diesel,Automatic,First,10.91,3198,197.2,7.0,32,Ford
1390,Hyundai Verna,Kochi,2016,44875,Diesel,Automatic,Second,22.32,1582,126.32,5.0,8,Hyundai
1391,Ford Figo,Coimbatore,2017,25095,Petrol,Manual,First,18.16,1196,86.8,5.0,6,Ford
1392,Maruti 800,Jaipur,2007,59000,Petrol,Manual,First,16.1,796,37,4.0,0,Maruti
1393,Honda City,Kolkata,2014,36000,Diesel,Manual,First,26.0,1498,98.6,5.0,5,Honda
1394,Mahindra XUV500,Mumbai,2012,37000,Diesel,Manual,First,16.0,2179,140,7.0,7,Mahindra
1395,Ford Figo,Chennai,2010,90000,Diesel,Manual,First,20.0,1399,68,5.0,2,Ford
1396,Ford EcoSport,Pune,2018,17000,Petrol,Manual,First,17.0,1497,121.36,5.0,9,Ford
1397,Hyundai i20,Mumbai,2015,42575,Petrol,Manual,First,18.6,1197,81.83,5.0,5,Hyundai
1398,Toyota Innova,Hyderabad,2012,131000,Diesel,Manual,First,12.99,2494,100,7.0,9,Toyota
1399,Renault Duster,Mumbai,2013,74000,Diesel,Manual,First,20.46,1461,83.8,5.0,5,Renault
1400,Toyota Innova,Mumbai,2013,47234,Diesel,Manual,First,12.99,2494,100.6,8.0,9,Toyota
1401,Honda City,Delhi,2009,231673,Petrol,Manual,First,17.0,1497,118,5.0,2,Honda
1402,Maruti Alto,Hyderabad,2016,10000,Petrol,Manual,First,24.07,998,67.1,5.0,3,Maruti
1403,Nissan Micra,Kochi,2016,49389,Petrol,Manual,First,19.49,1198,67.04,5.0,4,Nissan
1404,Maruti Celerio,Chennai,2016,12000,Petrol,Automatic,Second,23.1,998,67.04,5.0,4,Maruti
1405,Mercedes-Benz New,Hyderabad,2010,65000,Petrol,Manual,Second,11.7,1796,178,5.0,11,Mercedes-Benz
1406,Ford Fiesta,Chennai,2013,177000,Diesel,Manual,First,23.5,1498,88.7,5.0,3,Ford
1407,Hyundai Verna,Jaipur,2015,89000,Petrol,Manual,First,17.01,1591,121.3,5.0,7,Hyundai
1408,Hyundai i20,Chennai,2009,72000,Petrol,Automatic,Third,15.0,1396,100,5.0,3,Hyundai
1409,Maruti Swift,Chennai,2012,49000,Petrol,Manual,First,17.5,1298,85.8,5.0,4,Maruti
1410,Mercedes-Benz New,Hyderabad,2014,51355,Diesel,Automatic,First,14.84,2143,170,5.0,27,Mercedes-Benz
1411,Hyundai Elite,Kochi,2017,13460,Petrol,Manual,First,18.6,1197,81.86,5.0,8,Hyundai
1412,Hyundai Verna,Kochi,2014,35642,Petrol,Automatic,First,17.01,1591,121.4,5.0,6,Hyundai
1413,Chevrolet Cruze,Kochi,2014,52895,Diesel,Manual,First,17.3,1998,163.7,5.0,6,Chevrolet
1414,Toyota Corolla,Mumbai,2010,93000,Petrol,Manual,First,14.28,1798,138.03,5.0,4,Toyota
1415,Maruti A-Star,Pune,2011,70000,Petrol,Manual,First,19.0,998,66.1,5.0,2,Maruti
1416,Nissan Micra,Kolkata,2012,32048,Diesel,Manual,First,23.08,1461,63.1,5.0,2,Nissan
1417,Tata Nano,Pune,2013,4700,Petrol,Manual,First,25.4,624,37.48,4.0,1,Tata
1418,Maruti Swift,Delhi,2014,71800,Diesel,Manual,First,23.4,1248,74,5.0,2,Maruti
1419,Audi Q3,Ahmedabad,2016,45000,Diesel,Automatic,First,17.32,1968,184,5.0,27,Audi
1420,Honda Amaze,Chennai,2016,15388,Diesel,Manual,First,25.8,1498,98.6,5.0,7,Honda
1421,Chevrolet Optra,Mumbai,2004,98798,Petrol,Manual,First,14.7,1599,104,5.0,1,Chevrolet
1422,Audi Q5,Hyderabad,2016,43000,Diesel,Automatic,First,14.16,1968,174.3,5.0,39,Audi
1423,Maruti Ritz,Hyderabad,2012,85112,Diesel,Manual,First,23.2,1248,73.94,5.0,3,Maruti
1424,Mahindra Scorpio,Kochi,2018,37804,Diesel,Manual,First,15.4,2179,120,7.0,12,Mahindra
1425,Maruti Ciaz,Chennai,2014,45000,Diesel,Manual,First,28.09,1248,88.5,5.0,6,Maruti
1426,Toyota Corolla,Pune,2011,116000,Diesel,Manual,Second,21.43,1364,138,5.0,5,Toyota
1427,Tata Indica,Chennai,2015,100073,Diesel,Manual,Second,25.0,1396,69,5.0,2,Tata
1428,Maruti 800,Jaipur,2006,165000,Petrol,Manual,First,16.1,796,37,4.0,0,Maruti
1429,Volkswagen Polo,Kolkata,2015,22000,Petrol,Manual,First,16.47,1198,74,5.0,3,Volkswagen
1430,Hyundai Elantra,Delhi,2017,9500,Petrol,Automatic,First,14.62,1999,149.92,5.0,16,Hyundai
1431,Toyota Fortuner,Hyderabad,2012,152000,Diesel,Automatic,First,11.5,2982,169,7.0,16,Toyota
1432,Maruti Baleno,Coimbatore,2019,17705,Petrol,Manual,First,21.4,1197,83.1,5.0,8,Maruti
1433,Maruti Baleno,Mumbai,2016,12000,Petrol,Manual,First,21.4,1197,83.1,5.0,6,Maruti
1434,Mini Cooper,Hyderabad,2013,51000,Diesel,Automatic,First,23.8,1998,112,5.0,21,Mini
1435,Mercedes-Benz S,Chennai,2009,42000,Diesel,Automatic,Second,13.0,2987,210,5.0,22,Mercedes-Benz
1436,Maruti Alto,Delhi,2015,51000,Petrol,Manual,First,20.92,998,67.1,5.0,2,Maruti
1437,Maruti Swift,Kochi,2017,42527,Petrol,Manual,First,20.4,1197,81.80,5.0,5,Maruti
1438,Chevrolet Sail,Kolkata,2014,45000,Diesel,Manual,First,22.1,1248,74,5.0,2,Chevrolet
1439,Toyota Innova,Kolkata,2011,70000,Diesel,Manual,First,12.8,2494,102,8.0,6,Toyota
1440,Toyota Fortuner,Mumbai,2009,92000,Diesel,Manual,First,11.5,2982,171,7.0,8,Toyota
1441,BMW 3,Hyderabad,2012,57156,Diesel,Automatic,Second,18.88,1995,184,5.0,18,BMW
1442,Skoda Octavia,Coimbatore,2016,53211,Petrol,Manual,First,16.8,1395,138.02,5.0,11,Skoda
1443,Toyota Fortuner,Kolkata,2019,80000,Diesel,Manual,First,11.5,2982,171,7.0,8,Toyota
1444,Volkswagen Jetta,Bangalore,2009,74000,Diesel,Automatic,First,15.5,1896,105,5.0,5,Volkswagen
1445,Hyundai i20,Kolkata,2011,37000,Diesel,Manual,First,23.0,1396,90,5.0,2,Hyundai
1446,Tata Manza,Mumbai,2013,64000,Diesel,Manual,Second,21.02,1248,88.76,5.0,2,Tata
1447,Volkswagen Vento,Pune,2013,57197,Petrol,Manual,First,15.04,1598,103.6,5.0,4,Volkswagen
1448,Hyundai Creta,Chennai,2016,55000,Diesel,Automatic,First,17.6,1582,126.2,5.0,12,Hyundai
1449,Maruti Ritz,Mumbai,2014,33000,Petrol,Manual,First,21.1,1197,85.80,5.0,3,Maruti
1450,Honda CR-V,Delhi,2008,70000,Petrol,Manual,First,13.1,1997,141.1,5.0,4,Honda
1451,Mahindra XUV500,Delhi,2012,75000,Diesel,Manual,Second,15.1,2179,140,7.0,6,Mahindra
1452,Volkswagen Ameo,Jaipur,2016,58095,Diesel,Manual,First,21.66,1498,108.62,5.0,5,Volkswagen
1453,Tata Zest,Kolkata,2015,7445,Petrol,Manual,First,17.57,1193,88.7,5.0,5,Tata
1454,Jaguar XJ,Kochi,2016,17652,Diesel,Automatic,First,12.9,2993,270.88,5.0,58,Jaguar
1455,Toyota Corolla,Kochi,2018,28321,Petrol,Automatic,First,14.28,1798,138.03,5.0,17,Toyota
1456,Maruti A-Star,Pune,2011,69000,Petrol,Manual,Second,19.0,998,66.1,5.0,1,Maruti
1457,Honda Accord,Mumbai,2007,80000,Petrol,Automatic,First,11.1,2354,142,5.0,3,Honda
1458,Hyundai i20,Delhi,2014,42365,Petrol,Manual,First,17.0,1197,80,5.0,5,Hyundai
1459,Toyota Fortuner,Delhi,2013,123000,Diesel,Automatic,First,12.55,2982,168.5,7.0,16,Toyota
1460,Mercedes-Benz New,Mumbai,2011,40000,Petrol,Automatic,Second,11.74,1796,186,5.0,14,Mercedes-Benz
1461,Maruti Baleno,Hyderabad,2016,30112,Diesel,Manual,First,27.39,1248,74,5.0,7,Maruti
1462,Maruti Ertiga,Kochi,2017,43775,Diesel,Manual,First,20.77,1248,88.76,7.0,8,Maruti
1463,Land Rover,Kochi,2019,26013,Diesel,Automatic,First,12.65,2993,255,5.0,97,Land
1464,Chevrolet Optra,Mumbai,2012,56000,Petrol,Manual,First,12.9,1598,102.5,5.0,2,Chevrolet
1465,Honda Civic,Hyderabad,2008,95000,Petrol,Automatic,Second,12.9,1799,130,5.0,3,Honda
1466,BMW X3,Coimbatore,2014,41089,Diesel,Automatic,First,16.09,1995,184,5.0,28,BMW
1467,Skoda Laura,Mumbai,2011,41988,Diesel,Automatic,First,20.0,1968,138.1,5.0,5,Skoda
1468,Maruti Swift,Delhi,2013,72486,Diesel,Manual,First,23.4,1248,74,5.0,3,Maruti
1469,Volvo V40,Pune,2013,92000,Diesel,Automatic,First,23.3,1984,150,5.0,16,Volvo
1470,Maruti Swift,Delhi,2013,40000,Petrol,Manual,First,17.5,1298,85.8,5.0,4,Maruti
1471,Land Rover,Bangalore,2014,56000,Diesel,Automatic,First,12.7,2179,187.7,5.0,34,Land
1472,Honda Accord,Mumbai,2008,125000,Petrol,Automatic,Third,11.7,2354,177.6,5.0,2,Honda
1473,Toyota Innova,Kochi,2017,29219,Diesel,Manual,First,12.99,2494,100.6,8.0,13,Toyota
1474,Toyota Fortuner,Hyderabad,2018,39927,Diesel,Manual,First,12.55,2982,168.5,7.0,32,Toyota
1475,Honda Jazz,Kochi,2018,38593,Petrol,Manual,First,18.7,1199,88.7,5.0,6,Honda
1476,Honda City,Kolkata,2015,32000,Petrol,Manual,First,17.0,1497,118,5.0,5,Honda
1477,Maruti Dzire,Hyderabad,2017,28226,Diesel,Automatic,First,28.4,1248,73.75,5.0,9,Maruti
1478,Nissan Sunny,Pune,2014,95000,Diesel,Manual,First,21.64,1461,84.8,5.0,4,Nissan
1479,Toyota Innova,Chennai,2014,194000,Diesel,Manual,First,12.99,2494,100.6,8.0,10,Toyota
1480,Honda Brio,Coimbatore,2016,14821,Petrol,Manual,First,19.4,1198,86.8,5.0,5,Honda
1481,Volkswagen Vento,Bangalore,2012,52000,Petrol,Manual,First,15.04,1598,103.6,5.0,5,Volkswagen
1482,Mahindra XUV500,Mumbai,2016,33000,Diesel,Manual,First,16.0,2179,140,7.0,9,Mahindra
1483,Ford EcoSport,Chennai,2016,29200,Diesel,Manual,First,23.0,1498,98.96,5.0,7,Ford
1484,Skoda Yeti,Hyderabad,2012,99754,Diesel,Manual,First,17.72,1968,108.49,5.0,7,Skoda
1485,Hyundai i10,Chennai,2012,49000,Petrol,Manual,First,20.36,1197,78.9,5.0,3,Hyundai
1486,Toyota Innova,Hyderabad,2005,299322,Diesel,Manual,First,12.8,2494,102,8.0,4,Toyota
1487,Tata Zest,Coimbatore,2018,38310,Diesel,Manual,First,20.65,1248,88.7,5.0,6,Tata
1488,Maruti Swift,Delhi,2014,56000,Diesel,Manual,First,22.9,1248,74,5.0,4,Maruti
1489,Skoda Rapid,Kolkata,2017,31300,Diesel,Automatic,First,21.72,1498,108.4,5.0,10,Skoda
1490,Toyota Innova,Coimbatore,2019,11241,Diesel,Manual,First,13.68,2393,147.8,8.0,22,Toyota
1491,Hyundai Verna,Pune,2014,48000,Petrol,Manual,Second,17.01,1591,121.3,5.0,5,Hyundai
1492,Honda City,Coimbatore,2019,23882,Petrol,Manual,First,17.4,1497,117.3,5.0,11,Honda
1493,Honda City,Hyderabad,2014,65000,Diesel,Manual,First,26.0,1498,98.6,5.0,6,Honda
1494,Volkswagen Vento,Jaipur,2011,50000,Diesel,Manual,First,20.54,1598,103.6,5.0,5,Volkswagen
1495,Audi Q5,Chennai,2014,25000,Diesel,Automatic,First,12.19,2967,236,5.0,44,Audi
1496,Maruti Alto,Chennai,2015,21000,Petrol,Manual,First,22.74,796,47.3,5.0,2,Maruti
1497,Tata Manza,Pune,2012,148000,Diesel,Manual,Second,21.12,1248,88.8,5.0,2,Tata
1498,Hyundai Creta,Delhi,2016,68000,Petrol,Manual,First,15.29,1591,121.3,5.0,9,Hyundai
1499,Mercedes-Benz GL-Class,Bangalore,2014,52000,Diesel,Automatic,First,12.0,2987,224,7.0,49,Mercedes-Benz
1500,Mahindra Thar,Jaipur,2016,19000,Diesel,Manual,First,16.55,2498,105,6.0,9,Mahindra
1501,Hyundai Verna,Mumbai,2011,74000,Diesel,Manual,Second,22.32,1582,126.3,5.0,3,Hyundai
1502,Ford Aspire,Coimbatore,2017,30279,Diesel,Manual,First,26.1,1498,99,5.0,7,Ford
1503,Mini Cooper,Mumbai,2016,20000,Diesel,Automatic,First,20.7,1496,113.98,4.0,23,Mini
1504,Maruti Omni,Hyderabad,2013,34834,Petrol,Manual,First,14.0,796,35,5.0,2,Maruti
1505,Mahindra Verito,Pune,2015,90000,Diesel,Manual,Second,21.03,1461,65,5.0,3,Mahindra
1506,Mercedes-Benz E-Class,Coimbatore,2016,38730,Diesel,Automatic,First,14.21,2143,203,5.0,29,Mercedes-Benz
1507,Renault Duster,Kochi,2016,57390,Diesel,Manual,First,19.01,1461,108.45,5.0,6,Renault
1508,Maruti Swift,Kolkata,2016,100000,Diesel,Manual,First,23.4,1248,74,5.0,3,Maruti
1509,Volkswagen Polo,Kolkata,2011,50000,Petrol,Manual,First,16.47,1198,73.9,5.0,2,Volkswagen
1510,Mahindra XUV500,Coimbatore,2017,64961,Diesel,Manual,First,16.0,2179,140,7.0,16,Mahindra
1511,Volkswagen Polo,Coimbatore,2014,72465,Petrol,Manual,First,16.47,1198,74,5.0,5,Volkswagen
1512,Maruti Ritz,Hyderabad,2012,68776,Petrol,Manual,First,21.1,1197,85.80,5.0,3,Maruti
1513,Toyota Innova,Delhi,2012,68000,Diesel,Manual,First,12.8,2494,102,7.0,6,Toyota
1514,Honda City,Delhi,2015,33000,Diesel,Manual,First,26.0,1498,98.6,5.0,7,Honda
1515,Volkswagen Ameo,Coimbatore,2017,22389,Petrol,Manual,First,17.0,1198,73.75,5.0,7,Volkswagen
1516,Maruti SX4,Mumbai,2012,90000,Diesel,Manual,First,21.5,1248,88.8,5.0,3,Maruti
1517,Maruti Swift,Chennai,2012,42000,Petrol,Manual,Third,18.6,1197,85.8,5.0,4,Maruti
1518,Hyundai Creta,Pune,2017,38767,Diesel,Manual,First,19.67,1582,126.2,5.0,12,Hyundai
1519,Audi Q7,Bangalore,2015,21000,Diesel,Automatic,First,12.07,2967,241.4,7.0,48,Audi
1520,Maruti Alto,Coimbatore,2010,59136,Petrol,Manual,First,19.7,796,46.3,5.0,2,Maruti
1521,Honda Amaze,Kolkata,2014,36000,Diesel,Manual,First,25.8,1498,98.6,5.0,3,Honda
1522,Volkswagen Passat,Chennai,2011,95000,Diesel,Automatic,Second,18.33,1968,167.7,5.0,8,Volkswagen
1523,Hyundai Elantra,Mumbai,2013,51000,Diesel,Automatic,First,19.5,1582,126.24,5.0,8,Hyundai
1524,Maruti Wagon,Kochi,2011,36411,Petrol,Manual,First,18.9,998,67.1,5.0,3,Maruti
1525,Land Rover,Mumbai,2017,40000,Diesel,Automatic,First,12.81,1999,148.31,7.0,41,Land
1526,Honda City,Pune,2016,27300,Petrol,Manual,First,17.8,1497,117.3,5.0,7,Honda
1527,Mercedes-Benz New,Kochi,2011,29813,Petrol,Automatic,Second,14.74,1991,181.03,5.0,11,Mercedes-Benz
1528,Maruti Wagon,Pune,2011,71000,Petrol,Manual,First,20.51,998,67.04,5.0,2,Maruti
1529,Hyundai Verna,Kolkata,2014,32000,Diesel,Manual,First,22.32,1582,126.3,5.0,4,Hyundai
1530,Maruti Ertiga,Mumbai,2017,19234,CNG,Manual,First,17.5,1373,80.46,7.0,8,Maruti
1531,Volkswagen Tiguan,Jaipur,2017,50510,Diesel,Automatic,First,17.06,1968,141,5.0,24,Volkswagen
1532,BMW X1,Pune,2011,102000,Diesel,Automatic,First,15.06,1995,177,5.0,13,BMW
1533,Hyundai Grand,Kolkata,2014,42277,Diesel,Manual,First,24.0,1186,73.97,5.0,3,Hyundai
1534,Mercedes-Benz E-Class,Mumbai,2014,46000,Diesel,Automatic,First,13.0,2143,201.1,5.0,23,Mercedes-Benz
1535,Hyundai Grand,Bangalore,2015,50000,Petrol,Manual,First,18.9,1197,82,5.0,5,Hyundai
1536,Hyundai i10,Mumbai,2008,62000,Petrol,Manual,Second,20.36,1197,78.9,5.0,1,Hyundai
1537,Volkswagen Jetta,Mumbai,2012,78000,Diesel,Manual,First,19.33,1968,138.1,5.0,6,Volkswagen
1538,Skoda Yeti,Chennai,2011,79000,Diesel,Manual,First,17.67,1968,138.08,5.0,7,Skoda
1539,Audi Q7,Kochi,2019,6773,Diesel,Automatic,First,14.75,2967,245,7.0,72,Audi
1540,Toyota Fortuner,Chennai,2010,135000,Diesel,Manual,Second,11.5,2982,171,7.0,11,Toyota
1541,Maruti Wagon,Kochi,2013,36716,Petrol,Manual,First,18.9,1061,67,5.0,3,Maruti
1542,Hyundai EON,Coimbatore,2013,65060,Petrol,Manual,First,21.1,814,55.2,5.0,3,Hyundai
1543,Honda Brio,Delhi,2013,33000,Petrol,Manual,First,19.4,1198,86.8,5.0,3,Honda
1544,Maruti Alto,Kolkata,2015,11110,Petrol,Manual,First,22.74,796,47.3,5.0,2,Maruti
1545,Mahindra Bolero,Jaipur,2013,63000,Diesel,Manual,First,15.96,2523,62.1,7.0,5,Mahindra
1546,Honda City,Mumbai,2015,27030,Petrol,Manual,First,17.8,1497,117.3,5.0,6,Honda
1547,Skoda Rapid,Mumbai,2015,19600,Petrol,Manual,First,15.0,1598,103.52,5.0,6,Skoda
1548,Maruti Swift,Pune,2016,27755,Petrol,Manual,First,22.0,1197,81.80,5.0,5,Maruti
1549,Hyundai EON,Hyderabad,2013,20000,Petrol,Manual,Second,21.1,814,55.2,5.0,2,Hyundai
1550,Maruti Swift,Kochi,2015,24782,Petrol,Manual,First,20.85,1197,83.14,5.0,6,Maruti
1551,Nissan Micra,Coimbatore,2014,47303,Petrol,Automatic,First,19.34,1198,76,5.0,5,Nissan
1552,Audi Q7,Delhi,2008,71000,Petrol,Automatic,First,8.3,4134,250,7.0,11,Audi
1553,Maruti Swift,Pune,2010,135000,Diesel,Manual,First,17.8,1248,75,5.0,3,Maruti
1554,Tata Xenon,Jaipur,2017,1000,Diesel,Manual,First,13.49,2179,138.03,5.0,7,Tata
1555,Volkswagen Polo,Kolkata,2016,29000,Diesel,Manual,First,20.14,1498,88.8,5.0,4,Volkswagen
1556,Honda City,Kochi,2016,36367,Petrol,Manual,First,17.8,1497,117.3,5.0,7,Honda
1557,Honda City,Bangalore,2015,38000,Petrol,Manual,First,17.4,1497,117.3,5.0,7,Honda
1558,Maruti 800,Hyderabad,2011,83969,Petrol,Manual,First,16.1,796,37,4.0,1,Maruti
1559,Volkswagen Polo,Jaipur,2014,82621,Diesel,Manual,First,20.14,1498,88.8,5.0,4,Volkswagen
1560,Chevrolet Captiva,Pune,2009,89000,Diesel,Automatic,First,12.5,1991,147.9,7.0,4,Chevrolet
1561,Mahindra XUV500,Kolkata,2016,54000,Diesel,Manual,First,16.0,2179,140,7.0,13,Mahindra
1562,Honda Amaze,Kochi,2015,61691,Diesel,Manual,First,25.8,1498,98.6,5.0,5,Honda
1563,Hyundai i20,Chennai,2011,32200,Petrol,Manual,Second,17.0,1197,80,5.0,3,Hyundai
1564,Maruti Wagon,Jaipur,2016,68630,Petrol,Automatic,First,20.51,998,67,5.0,3,Maruti
1565,Volkswagen Jetta,Mumbai,2014,61000,Diesel,Automatic,Second,16.96,1968,138.03,5.0,8,Volkswagen
1566,Maruti Ciaz,Mumbai,2018,32644,Petrol,Manual,First,20.73,1373,91.1,5.0,9,Maruti
1567,Mahindra Scorpio,Delhi,2012,85000,Diesel,Automatic,First,11.79,2179,120,7.0,6,Mahindra
1568,Chevrolet Aveo,Mumbai,2008,75000,Petrol,Manual,Second,15.26,1150,74.9,5.0,1,Chevrolet
1569,Maruti Ciaz,Kochi,2016,40347,Petrol,Manual,First,20.73,1373,91.2,5.0,7,Maruti
1570,Hyundai i20,Hyderabad,2012,60788,Diesel,Manual,First,23.0,1396,90,5.0,4,Hyundai
1571,Honda Jazz,Kochi,2018,18664,Petrol,Manual,First,18.7,1199,88.7,5.0,7,Honda
1572,Mahindra XUV500,Coimbatore,2017,57847,Diesel,Manual,First,16.0,2179,140,7.0,16,Mahindra
1573,Hyundai i20,Bangalore,2012,52237,Petrol,Manual,First,17.0,1197,80,5.0,4,Hyundai
1574,Hyundai Verna,Chennai,2012,128000,Diesel,Manual,First,22.32,1582,126.32,5.0,5,Hyundai
1575,Hyundai i10,Delhi,2011,54000,Petrol,Manual,First,19.81,1086,68.05,5.0,2,Hyundai
1576,Maruti Celerio,Bangalore,2014,49800,Petrol,Automatic,First,23.1,998,67.04,5.0,4,Maruti
1577,Skoda Fabia,Kolkata,2012,98000,Diesel,Manual,First,20.86,1199,73.9,5.0,2,Skoda
1578,Maruti Swift,Delhi,2015,60095,Diesel,Manual,First,25.2,1248,74,5.0,4,Maruti
1579,Hyundai i10,Pune,2008,68000,Petrol,Manual,Second,16.0,1086,66.7,5.0,2,Hyundai
1580,Hyundai i10,Jaipur,2010,81402,Petrol,Manual,Second,20.36,1197,78.9,5.0,2,Hyundai
1581,Ford Ecosport,Mumbai,2013,38000,Petrol,Automatic,First,16.5,1499,110,5.0,6,Ford
1582,Mercedes-Benz E-Class,Kochi,2011,92239,Diesel,Automatic,Second,11.5,2987,210,5.0,10,Mercedes-Benz
1583,Maruti Swift,Ahmedabad,2017,49224,Diesel,Manual,First,25.2,1248,74,5.0,6,Maruti
1584,Maruti 800,Jaipur,2004,12000,Petrol,Manual,Second,16.1,796,37,4.0,0,Maruti
1585,Maruti Swift,Pune,2010,54898,Petrol,Manual,Third,16.1,1298,88.2,5.0,2,Maruti
1586,Hyundai Creta,Mumbai,2018,2500,Petrol,Manual,First,15.29,1591,121.3,5.0,12,Hyundai
1587,BMW X1,Kochi,2017,32838,Diesel,Automatic,First,17.05,1995,190,5.0,30,BMW
1588,Ford Ikon,Hyderabad,2006,27076,Petrol,Manual,First,13.8,1299,70,5.0,1,Ford
